Rk,Player,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
44,Ola Aina,DF,Nott'ham Forest,eng Premier League,26.0,22,20,1692,18.8,1,1,2,1,0,0,3,0,0.3,0.9,1.2,53.0,68.0,38.0,0.05,0.05,0.11,0.05,0.11,0.01,0.05,0.06,0.01,0.06
2781,Maximilian Wöber,DF,Gladbach,de Bundesliga,25.0,25,24,2066,23.0,2,3,5,2,0,0,4,1,1.3,1.6,2.9,32.0,128.0,23.0,0.09,0.13,0.22,0.09,0.22,0.06,0.07,0.13,0.06,0.13
47,Kristoffer Ajer,DF,Brentford,eng Premier League,25.0,28,21,1832,20.4,2,1,3,2,0,0,5,0,1.3,2.3,3.6,22.0,61.0,31.0,0.1,0.05,0.15,0.1,0.15,0.06,0.11,0.18,0.06,0.18
2779,Axel Witsel,DF,Atlético Madrid,es La Liga,34.0,35,30,2783,30.9,2,0,2,2,0,0,5,0,1.0,0.3,1.3,17.0,89.0,8.0,0.06,0.0,0.06,0.06,0.06,0.03,0.01,0.04,0.03,0.04
2768,Neco Williams,DF,Nott'ham Forest,eng Premier League,22.0,26,18,1637,18.2,0,1,1,0,0,0,4,0,0.8,1.6,2.5,48.0,47.0,86.0,0.0,0.05,0.05,0.0,0.05,0.04,0.09,0.13,0.04,0.13
2766,Mateusz Wieteska,DF,Clermont Foot,fr Ligue 1,26.0,2,2,174,1.9,1,0,1,1,0,0,0,0,0.1,0.0,0.1,0.0,6.0,1.0,0.52,0.0,0.52,0.52,0.52,0.05,0.0,0.05,0.05,0.05
51,Nathan Aké,DF,Manchester City,eng Premier League,28.0,29,24,2042,22.7,2,2,4,2,0,0,0,0,2.5,1.2,3.7,24.0,116.0,18.0,0.09,0.09,0.18,0.09,0.18,0.11,0.05,0.16,0.11,0.16
2765,Mateusz Wieteska,DF,Cagliari,it Serie A,26.0,19,10,965,10.7,0,1,1,0,0,0,5,1,0.3,0.6,0.9,16.0,33.0,1.0,0.0,0.09,0.09,0.0,0.09,0.03,0.05,0.08,0.03,0.08
53,Sergio Akieme,DF,Almería,es La Liga,25.0,19,19,1675,18.6,2,0,2,2,0,0,2,0,1.2,2.2,3.3,27.0,28.0,72.0,0.11,0.0,0.11,0.11,0.11,0.06,0.12,0.18,0.06,0.18
54,Sergio Akieme,DF,Reims,fr Ligue 1,25.0,13,8,818,9.1,2,0,2,2,0,0,2,0,1.4,0.4,1.8,20.0,20.0,34.0,0.22,0.0,0.22,0.22,0.22,0.16,0.04,0.2,0.16,0.2
43,Joseph Aidoo,DF,Celta Vigo,es La Liga,27.0,6,4,407,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.2,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04
2806,Dan-Axel Zagadou,DF,Stuttgart,de Bundesliga,24.0,19,16,1453,16.1,1,0,1,1,0,0,1,0,1.0,0.3,1.3,2.0,75.0,3.0,0.06,0.0,0.06,0.06,0.06,0.06,0.02,0.08,0.06,0.08
2807,Yoram Zague,DF,Paris S-G,fr Ligue 1,17.0,5,4,373,4.1,1,0,1,1,0,0,1,0,0.3,0.5,0.8,2.0,13.0,4.0,0.24,0.0,0.24,0.24,0.24,0.07,0.11,0.18,0.07,0.18
2811,Joseba Zaldúa,DF,Cádiz,es La Liga,31.0,13,9,704,7.8,0,0,0,0,0,0,3,0,0.0,0.5,0.6,7.0,15.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07
2844,Kurt Zouma,DF,West Ham,eng Premier League,28.0,33,32,2838,31.5,3,0,3,3,0,0,3,0,1.8,0.2,2.0,7.0,53.0,1.0,0.1,0.0,0.1,0.1,0.1,0.06,0.01,0.06,0.06,0.06
2843,Nadir Zortea,DF,Atalanta,it Serie A,24.0,5,0,149,1.7,1,0,1,1,0,0,1,0,0.1,0.3,0.4,7.0,10.0,22.0,0.6,0.0,0.6,0.6,0.6,0.05,0.16,0.21,0.05,0.21
5,Yunis Abdelhamid,DF,Reims,fr Ligue 1,35.0,31,31,2781,30.9,4,0,4,3,1,1,5,0,3.4,0.3,2.9,36.0,137.0,9.0,0.13,0.0,0.13,0.1,0.1,0.11,0.01,0.12,0.09,0.09
2842,Nadir Zortea,DF,Frosinone,it Serie A,24.0,14,14,1258,14.0,1,5,6,1,0,0,3,0,0.4,2.8,3.3,31.0,42.0,71.0,0.07,0.36,0.43,0.07,0.43,0.03,0.2,0.23,0.03,0.23
7,Nabil Aberdin,DF,Getafe,es La Liga,20.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2840,Luc Zogbé,DF,Brest,fr Ligue 1,18.0,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2838,Oleksandr Zinchenko,DF,Arsenal,eng Premier League,26.0,27,20,1722,19.1,1,2,3,1,0,0,2,0,0.6,2.5,3.1,40.0,229.0,58.0,0.05,0.1,0.16,0.05,0.16,0.03,0.13,0.16,0.03,0.16
10,Abner,DF,Betis,es La Liga,23.0,23,15,1400,15.6,0,1,1,0,0,0,3,0,0.1,1.0,1.1,14.0,33.0,58.0,0.0,0.06,0.06,0.0,0.06,0.01,0.06,0.07,0.01,0.07
